ID,Title,Description,Category_title,Geometry_Coordinates_1,Geometry_Coordinates_2,Geometry_Coordinates_3,Geometry_Coordinates_4,Date,Time
EONET_14099,OKR Floyds Island Rx 0624 Prescribed Fire  Charlton  Georgia,,Wildfires,-82.247567  30.86855,,,,2025-06-24,06:47:00
EONET_14095,Racquet Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-141.106667  66.326383,,,,2025-06-23,17:41:00
EONET_14096,BARSTOW ROAD Wildfire  Walla Walla  Washington,12 Miles S from Prescott  WA,Wildfires,-118.34398  46.47261,,,,2025-06-23,10:29:00
EONET_14062,New Cottonwood Wildfire  Northwest Arctic  Alaska,,Wildfires,-159.64  68.17,,,,2025-06-22,22:44:00
EONET_14083,Shortcut Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-151.537233  65.085039,,,,2025-06-22,21:25:00
EONET_14100,Ikpikpuk Wildfire  North Slope  Alaska,,Wildfires,-154.87  69.54,,,,2025-06-22,13:41:00
EONET_14101,Bronx Wildfire  North Slope  Alaska,,Wildfires,-155.25  69.47,,,,2025-06-22,13:09:00
EONET_14070,Nenana Ridge Complex Incident Complex  Fairbanks North Star  Alaska,20 Miles SW from Fairbanks  AK,Wildfires,-148.602775  64.724717,,,,2025-06-22,00:19:00
EONET_14052,Kirishimayama Volcano  Japan,,Volcanoes,130.862  31.934,,,,2025-06-22,00:00:00
EONET_14090,Roundabout Complex Incident Complex  Yukon-Koyukuk  Alaska,8 Miles SW from Huslia  AK,Wildfires,-156.590973  65.851001,,,,2025-06-21,20:03:00
EONET_14071,Yellow Wildfire  Yukon-Koyukuk  Alaska,43 Miles SW from Birch Creek  AK,Wildfires,-146.588333  65.7275,,,,2025-06-21,18:32:00
EONET_14102,East Gakona River Wildfire  Copper River  Alaska,,Wildfires,-145.008333  62.766833,,,,2025-06-21,17:29:00
EONET_14061,Sand Lake Wildfire  Southeast Fairbanks  Alaska,44 Miles SE from Delta Junction  AK,Wildfires,-144.365467  63.797167,,,,2025-06-21,16:55:00
EONET_14063,Kerulu Wildfire  Northwest Arctic  Alaska,,Wildfires,-158.14  66.38,,,,2025-06-21,16:47:00
EONET_14064,Tallowpot Wildfire  Northwest Arctic  Alaska,35 Miles NE from Deering  AK,Wildfires,-163.886333  65.887333,,,,2025-06-21,13:27:00
EONET_14092,McArthur Creek Wildfire  Southeast Fairbanks  Alaska,40 Miles E from Tetlin  AK,Wildfires,-141.210917  63.115533,,,,2025-06-21,00:45:00
EONET_14077,Ridgeline Wildfire  Southeast Fairbanks  Alaska,48 Miles E from Tok  AK,Wildfires,-141.44  63.378917,,,,2025-06-20,23:04:00
EONET_14093,River Trail Wildfire  Southeast Fairbanks  Alaska,32 Miles NE from Tok  AK,Wildfires,-141.947883  63.4187,,,,2025-06-20,23:03:00
EONET_14089,Moldy Wildfire  Yukon-Koyukuk  Alaska,null Miles null from null  ,Wildfires,-156.739841  65.582658,,,,2025-06-20,22:46:00
EONET_14088,Louie Wildfire  Yukon-Koyukuk  Alaska,null Miles null from null  ,Wildfires,-156.743  65.582333,,,,2025-06-20,22:41:00
EONET_14067,Ptarmigan Complex Incident Complex  Yukon-Koyukuk  Alaska,2 Miles S from Central  AK,Wildfires,-144.510988  65.631179,,,,2025-06-20,21:51:00
EONET_14103,Fish Lake Wildfire  Copper River  Alaska,,Wildfires,-145.97365  62.60625,,,,2025-06-20,20:40:00
EONET_14073,Porphyry Wildfire  Southeast Fairbanks  Alaska,19 Miles SE from Chicken  AK,Wildfires,-142.5525  64.2,,,,2025-06-20,20:34:00
EONET_14069,Goldstream Creek Wildfire  Yukon-Koyukuk  Alaska,null Miles null from null  ,Wildfires,-148.759167  64.73555,,,,2025-06-20,19:57:00
EONET_14091,Salmon Trout Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-141.54  66.83,,,,2025-06-20,19:49:00
EONET_14075,Aggie Creek Wildfire  Fairbanks North Star  Alaska,23 Miles NW from Fairbanks  AK,Wildfires,-148.154167  65.122783,,,,2025-06-20,19:41:00
EONET_14065,Alligator Wildfire  Yukon-Koyukuk  Alaska,null Miles null from null  ,Wildfires,-144.760333  65.636167,,,,2025-06-20,18:42:00
EONET_14079,Buckley Bar Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-144.343517  65.368167,,,,2025-06-20,18:37:00
EONET_14084,Pilot Creek Wildfire  Yukon-Koyukuk  Alaska,74 Miles N from McGrath  AK,Wildfires,-154.8635  63.9605,,,,2025-06-20,18:35:00
EONET_14094,Susulatna Hills Wildfire  Yukon-Koyukuk  Alaska,48 Miles NE from McGrath  AK,Wildfires,-155.283333  63.583333,,,,2025-06-20,18:28:00
EONET_14074,Easter Wildfire  North Slope  Alaska,58 Miles W from Anaktuvuk Pass  AK,Wildfires,-153.99  68.05,,,,2025-06-20,18:20:00
EONET_14104,Colowyo Wildfire  Moffat  Colorado,30 Miles SW from Craig  CO,Wildfires,-107.829344  40.245916,,,,2025-06-20,17:56:00
EONET_14057,Hay Wildfire  Yukon-Koyukuk  Alaska,15 Miles SE from Tanana  AK,Wildfires,-151.61  65.1,,,,2025-06-20,17:53:00
EONET_14066,Birch Wildfire  Yukon-Koyukuk  Alaska,null Miles null from null  ,Wildfires,-144.221117  65.862217,,,,2025-06-20,17:21:00
EONET_14080,Christian Wildfire  Yukon-Koyukuk  Alaska,50 Miles NE from Venetie  AK,Wildfires,-144.808  67.337383,,,,2025-06-20,17:16:00
EONET_14058,Richards Wildfire  Yukon-Koyukuk  Alaska,10 Miles W from Huslia  AK,Wildfires,-156.7275  65.685833,,,,2025-06-20,14:33:00
EONET_14105,Takoma Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-143.9174  65.4264,,,,2025-06-20,12:40:00
EONET_14097,Michigan Wildfire  Yukon-Koyukuk  Alaska,22 Miles W from Wiseman  AK,Wildfires,-150.98055  67.471117,,,,2025-06-20,12:21:00
EONET_14078,Conner Wildfire  Douglas  Nevada,8 Miles SE from Gardnerville  NV,Wildfires,-119.644167  38.8524,,,,2025-06-20,09:03:00
EONET_14106,EVP HID Rx 0620 Prescribed Fire  Miami-Dade  Florida,,Wildfires,-80.6448  25.3807,,,,2025-06-20,07:13:00
EONET_14059,Saint George Creek Wildfire  Denali  Alaska,30 Miles SW from Salcha  AK,Wildfires,-147.891533  64.222833,,,,2025-06-20,03:06:00
EONET_13975,Turtle Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-144.298667  65.608833,,,,2025-06-20,01:55:00
EONET_14068,Bonanza Creek Wildfire  Fairbanks North Star  Alaska,22 Miles SW from Fairbanks  AK,Wildfires,-148.446383  64.713883,,,,2025-06-20,01:50:00
EONET_13973,Ikheenjik Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-144.234167  65.611833,,,,2025-06-20,01:45:00
EONET_13970,Forsyth Wildfire  Washington  Utah,30 Miles N from St. George  UT,Wildfires,-113.515417  37.346567,,,,2025-06-19,20:59:00
EONET_13974,Aniralik Wildfire  Northwest Arctic  Alaska,91 Miles NW from Ambler  AK,Wildfires,-159.735833  68.203333,,,,2025-06-19,12:36:00
EONET_13988,BCP Mullet B Rx 0619 Prescribed Fire  Collier  Florida,,Wildfires,-81.110883  26.023867,,,,2025-06-19,07:08:00
EONET_13997,BAER BUCK Emergency Stabilization  Catron  New Mexico,,Wildfires,-108.21086  33.59564,,,,2025-06-18,13:21:00
EONET_13992,SMR Port Leon West Rx 0618 Prescribed Fire  Wakulla  Florida,,Wildfires,-84.184444  30.144389,,,,2025-06-18,09:18:00
EONET_13980,SEVEN SPRINGS Wildfire  Otero  New Mexico,5 Miles SE from Mescalero  NM,Wildfires,-105.80735  33.066183,,,,2025-06-17,17:57:00
EONET_13998,0300 WOLF HOLLOW GILLIAM COUNTY ASSIST Wildfire  Gilliam  Oregon,11 Miles NE from Condon  OR,Wildfires,-120.059  45.3894,,,,2025-06-17,17:48:00
EONET_13972,MONTE Wildfire  San Diego  California,2 Miles W from El Capitan Resorvior  CA,Wildfires,-116.841545  32.891216,,,,2025-06-17,17:44:00
EONET_13991,Tango Wildfire  Yukon-Koyukuk  Alaska,75 Miles NW from Nikolai  AK,Wildfires,-156.02  63.82,,,,2025-06-17,17:37:00
EONET_13993,HelpMeJack Wildfire  Yukon-Koyukuk  Alaska,45 Miles NW from Allakaket  AK,Wildfires,-154.048383  66.868083,,,,2025-06-17,15:16:00
EONET_13983,Tagagawik Wildfire  Yukon-Koyukuk  Alaska,67 Miles NW from Koyukuk  AK,Wildfires,-159.06  65.66,,,,2025-06-17,12:09:00
EONET_13995,BCP Mullet B Rx 0617 Prescribed Fire  Collier  Florida,,Wildfires,-81.110883  26.023867,,,,2025-06-17,07:11:00
EONET_13969,Telidaside Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-152.59  63.19,,,,2025-06-16,22:17:00
EONET_13996,Hogatza Wildfire  Yukon-Koyukuk  Alaska,37 Miles NW from Allakaket  AK,Wildfires,-153.848333  66.758333,,,,2025-06-16,20:41:00
EONET_13990,Kawichiark 2 Wildfire  Northwest Arctic  Alaska,33 Miles SW from Shungnak  AK,Wildfires,-158.03627  66.565531,,,,2025-06-16,15:33:00
EONET_13989,Kawichiark 1 Wildfire  Northwest Arctic  Alaska,33 Miles SW from Shungnak  AK,Wildfires,-158.039  66.565333,,,,2025-06-16,15:29:00
EONET_13979,0291 ALDER SPRINGS Wildfire  Jefferson  Oregon,8 Miles NW from Terrebonne  OR,Wildfires,-121.346667  44.444667,,,,2025-06-16,13:38:00
EONET_14005,APQ Area 1 Rx 0616 Prescribed Fire  Polk  Florida,,Wildfires,-81.389122  27.710079,,,,2025-06-16,09:00:00
EONET_14003,BCP Mullet B Rx 0616 Prescribed Fire  Collier  Florida,,Wildfires,-81.0949  26.0679,,,,2025-06-16,08:40:00
EONET_14009,pouch point Wildfire  Mountrail  North Dakota,,Wildfires,-102.472476  47.981964,,,,2025-06-14,16:48:00
EONET_14010,pouch point Wildfire  Mountrail  North Dakota,,Wildfires,-102.472476  47.981964,,,,2025-06-14,16:21:00
EONET_13976,Oskawalik Wildfire  Bethel  Alaska,9 Miles S from Crooked Creek  AK,Wildfires,-158.2245  61.725167,,,,2025-06-14,16:19:00
EONET_14011,pouch point Wildfire  Mountrail  North Dakota,,Wildfires,-102.472476  47.981964,,,,2025-06-14,14:54:00
EONET_14007,BCP Mullet B Rx 0614 Prescribed Fire  Collier  Florida,,Wildfires,-81.0949  26.0679,,,,2025-06-14,07:21:00
EONET_14008,DOGS Wildfire  Kern  California,Poso Creek area off of Hwy 65,Wildfires,-118.93  35.6383333,,,,2025-06-13,17:22:00
EONET_14001,Mines Spung Wildfire  Burlington  New Jersey,5 Miles SW from Speedwell  NJ,Wildfires,-74.63979  39.74558,,,,2025-06-13,16:48:00
EONET_13981,Bridge Creek Wildfire  San Juan  Utah,55 Miles NW from Page  AZ,Wildfires,-110.9005556  37.0422222,,,,2025-06-13,16:39:00
EONET_13985,Horse Wildfire  Sublette  Wyoming,7 Miles W from Merna  WY,Wildfires,-110.528967  42.90025,,,,2025-06-13,16:18:00
EONET_13978,POMAS Wildfire  Chelan  Washington,36 Miles NW from Entiat  WA,Wildfires,-120.723083  48.091433,,,,2025-06-13,15:55:00
EONET_14012,VANSYCLE CANYON Wildfire  Walla Walla  Washington,12 MILES SE OF BURBANK  WA,Wildfires,-118.82  46.0330556,,,,2025-06-13,02:35:00
EONET_14000,Gyetta South RX Prescribed Fire  Yavapai  Arizona,,Wildfires,-111.988449  34.37424,,,,2025-06-12,18:22:00
EONET_13982,BUCK Wildfire  Catron  New Mexico,61 Miles SW from Magdalena  NM,Wildfires,-108.21086  33.59564,,,,2025-06-12,11:42:00
EONET_13986,Trout Wildfire  Grant  New Mexico,12 Miles N from Silver City  NM,Wildfires,-108.232667  32.979417,,,,2025-06-12,10:51:00
EONET_14006,VANSYCLE CANYON Wildfire  Walla Walla  Washington,12 MILES SE OF BURBANK,Wildfires,-118.818667  46.029694,,,,2025-06-12,10:45:00
EONET_13999,0262 FERRY Wildfire  Sherman  Oregon,11 Miles SE from Moro  OR,Wildfires,-120.511167  45.442333,,,,2025-06-12,02:36:00
EONET_13971,France Canyon Wildfire  Garfield  Utah,7 Miles SE from Hatch  UT,Wildfires,-112.381833  37.548333,,,,2025-06-11,20:21:00
EONET_14004,Rosencrans Wildfire  Lincoln  Nevada,65 miles SE of Ely  NV,Wildfires,-114.223668  38.409203,,,,2025-06-11,16:57:00
EONET_13987,ROWENA Wildfire  Wasco  Oregon,2 Miles NW from The Dalles  OR,Wildfires,-121.2892  45.6793,,,,2025-06-11,16:45:00
EONET_14014,Ollie Roberts Road- Hardee Wildfire  Hardee  Florida,10 Miles W of the Bowling Green  5502 Ollie Roberts Road  Bowling Green  Hardee,Wildfires,-81.9958333  27.6380556,,,,2025-06-11,16:11:00
EONET_13977,Burnt Canyon Wildfire  Lincoln  Nevada,65 Miles SE from Ely  NV,Wildfires,-114.197867  38.296972,,,,2025-06-11,16:09:00
EONET_13867,Dunes Wildfire  Washington  Idaho,20NM west of Weiser  ID,Wildfires,-117.204583  44.28555,,,,2025-06-03,17:46:00
EONET_13869,Holly Springs IU 36 1 34 1 RX Prescribed Fire  Marshall  Mississippi,,Wildfires,-89.3482  34.7437,,,,2025-06-03,11:47:00
EONET_13868,OKR Blackjack Island Rx 0603 Prescribed Fire  Ware  Georgia,,Wildfires,-82.310433  30.654383,,,,2025-06-03,08:16:00
EONET_13866,Banana Lake Wildfire  Sanders  Montana,Four miles north of Plains  MT,Wildfires,-114.8405  47.514617,,,,2025-05-31,20:25:00
EONET_13872,SNF E Hamilton C-55 RX Prescribed Fire  Shelby  Texas,,Wildfires,-93.908417  31.619583,,,,2025-05-30,12:55:00
EONET_13781,RA 2 PAYETTE CO ASHLOCK Wildfire  Payette  Idaho,8 MILES NE PARMA  ID,Wildfires,-116.874085  43.894257,,,,2025-05-29,18:50:00
EONET_13792,BAR Camp Bowie Rx Prescribed Fire  Brown  Texas,,Wildfires,-98.947678  31.651263,,,,2025-05-29,11:12:00
EONET_13784,Perchman Wildfire  Putnam  Florida,6 miles North of Salt Springs,Wildfires,-81.720617  29.4605,,,,2025-05-27,14:20:00
EONET_13785,Paradise Wildfire  Catron  New Mexico,12 miles south of Quemado NM,Wildfires,-108.45813  34.15964,,,,2025-05-26,21:30:00
EONET_13794,NEW WALES (53) Wildfire  Polk  Florida,Polk County  Bradley Junction  Florida 8.5 MILES SSW OF MULBERRY,Wildfires,-82.0055556  27.7786111,,,,2025-05-26,16:53:00
EONET_13788,Wood Wildfire  Highlands  Florida,25 Miles East of Avon Park  FL,Wildfires,-81.18388  27.63524,,,,2025-05-26,10:57:00
EONET_13789,BUTTE CREEK Wildfire  Wheeler  Oregon,9 Miles N of Clarno  OR,Wildfires,-120.47939  45.06103,,,,2025-05-25,18:44:00
EONET_13786,CAMP Wildfire  Lincoln  New Mexico,10 Miles West of Lincoln  NM,Wildfires,-105.54944  33.48351,,,,2025-05-25,18:21:00
EONET_13791,Kathul Wildfire  Southeast Fairbanks  Alaska,50 miles Northwest of Eagle,Wildfires,-142.19  65.33,,,,2025-05-25,12:35:00
EONET_13790,Sandy Wildfire  Monroe  Florida,22 Miles SE of  Everglades City,Wildfires,-81.012333  25.6965,,,,2025-05-24,20:55:00
EONET_13795,dinwoodie Wildfire  Mountrail  North Dakota,,Wildfires,-102.471636  47.971759,,,,2025-05-24,19:15:00
EONET_13796,dinwoodie Wildfire  McKenzie  North Dakota,,Wildfires,-102.920559  48.052528,,,,2025-05-24,09:34:00
EONET_13797,dinwoodie Wildfire  Mountrail  North Dakota,,Wildfires,-102.471636  47.971759,,,,2025-05-23,21:41:00
EONET_13798,Rx Trinity 2730 Prescribed Fire  Trinity  Texas,,Wildfires,-94.9214  31.3104,,,,2025-05-23,15:25:00
EONET_13799,RX Compartment 113 East Prescribed Fire  Jasper  Georgia,,Wildfires,-83.701933  33.1714,,,,2025-05-23,14:29:00
EONET_13782,INN Wildfire  Mono  California,MONO LAKE,Wildfires,-119.154717  38.004533,,,,2025-05-22,19:07:00
EONET_13783,CODY Wildfire  Pinal  Arizona,ORACLE  AZ,Wildfires,-110.738667  32.5855,,,,2025-05-21,19:06:00
EONET_13793,Broadway Wildfire  La Paz  Arizona,2 miles from Cibola,Wildfires,-114.709267  33.4004,,,,2025-05-21,17:51:00
EONET_13800,SNF Hawthorne C 51-52 RX Prescribed Fire  San Augustine  Texas,,Wildfires,-94.093833  31.598917,,,,2025-05-21,10:29:00
EONET_13656,FD2505120020 Wildfire  Grant  North Dakota,,Wildfires,-101.775204  46.60307,,,,2025-05-19,17:26:00
EONET_13657,Homochitto BB 67 68 RX Prescribed Fire  Wilkinson  Mississippi,,Wildfires,-91.244  31.272,,,,2025-05-19,15:41:00
EONET_13658,RX Kent 2681 Prescribed Fire  Kent  Texas,,Wildfires,-100.9985  33.14225025,,,,2025-05-19,13:07:00
EONET_13654,DeSoto BB 7255 North GFP RX Prescribed Fire  Harrison  Mississippi,,Wildfires,-88.957583  30.5882,,,,2025-05-19,11:58:00
EONET_13659,Rx San Augustine 2664 Prescribed Fire  San Augustine  Texas,,Wildfires,-94.13913  31.19551,,,,2025-05-19,11:14:00
EONET_13653,Democrat Wildfire  Kern  California,Lower Kern River Canyon,Wildfires,-118.710667  35.480433,,,,2025-05-18,18:49:00
EONET_13663,APQ Delta Prairie Rx 0517 Prescribed Fire  Highlands  Florida,,Wildfires,-81.3247  27.6377,,,,2025-05-17,08:00:00
EONET_13661,Bluff Creek Wildfire  Jackson  Mississippi,Larue Community,Wildfires,-88.85055  30.678683,,,,2025-05-16,13:53:00
EONET_13664,Homochitto BB45sub1 and Pockets of Sub2 RX Prescribed Fire  Franklin  Mississippi,,Wildfires,-91.067  31.388,,,,2025-05-16,09:36:00
EONET_13652,RX Mason Valley Fishponds Prescribed Fire  Lyon  Nevada,,Wildfires,-119.100164  39.088992,,,,2025-05-15,19:12:00
EONET_13666,APQ Rec Area 4 Rx 0515 Prescribed Fire  Highlands  Florida,,Wildfires,-81.297082  27.634061,,,,2025-05-15,08:14:00
EONET_13660,APQ Rec Area 4 Rx 0514 Prescribed Fire  Highlands  Florida,,Wildfires,-81.290583  27.640992,,,,2025-05-14,17:51:00
EONET_13665,ACRES Wildfire  Madera  California,,Wildfires,-120.018779  37.08052,,,,2025-05-14,17:34:00
EONET_13655,Greer Wildfire  Apache  Arizona,3 miles West of Springerville  AZ,Wildfires,-109.4535  34.022333,,,,2025-05-13,14:30:00
EONET_13771,Karymsky Volcano  Russia,,Volcanoes,159.443  54.049,,,,2025-05-11,00:00:00
EONET_13511,rx-63 Wildfire  Burnett  Wisconsin,,Wildfires,-92.5959831  45.8489653,,,,2025-05-07,09:30:00
EONET_13513,RX DRAKE RANCH SW Wildfire  Murray  Oklahoma,,Wildfires,-97.1009  34.5366,,,,2025-05-07,09:27:00
EONET_13514,RX DRAKE RANCH Wildfire  Pottawatomie  Oklahoma,,Wildfires,-97.0822  34.9452,,,,2025-05-07,09:19:00
EONET_13515,RX PENNER RANCH Wildfire  Murray  Oklahoma,,Wildfires,-96.8809  34.3904,,,,2025-05-07,09:17:00
EONET_13510,OP-1 Wildfire  Polk  Florida,Avon Park Air Force Range. Recreation Areas 3A  6  North Tactical Range and Nort,Wildfires,-81.269333  27.691167,,,,2025-05-06,14:15:00
EONET_13521,Darrynane Lake RX Wildfire  Stafford  Kansas,,Wildfires,-98.475833  38.135833,,,,2025-05-05,13:13:00
EONET_13522,Rx Polk 2488 Wildfire  Polk  Texas,,Wildfires,-94.995  30.79333333,,,,2025-05-05,12:18:00
EONET_13518,Holly Springs IU 98 sub 1 RX Wildfire  Lafayette  Mississippi,,Wildfires,-89.3419  34.3912,,,,2025-05-05,11:39:00
EONET_13517,Walden RX Wildfire  Pope  Minnesota,,Wildfires,-95.7197  45.5388,,,,2025-05-05,10:19:00
EONET_13512,Pouch Point Wildfire  Mountrail  North Dakota,11 miles SW of New Town  ND,Wildfires,-102.411944  47.820556,,,,2025-05-05,10:01:00
EONET_13519,RX CALE C-25 Wildfire  Rapides  Louisiana,,Wildfires,-92.6565  31.21625,,,,2025-05-05,09:34:00
EONET_13520,RX KIS C-64 Wildfire  Natchitoches  Louisiana,,Wildfires,-93.100833  31.393056,,,,2025-05-05,09:01:00
EONET_13505,Iron Wildfire  Catron  New Mexico,38 miles east of Glenwood NM,Wildfires,-108.554967  33.35625,,,,2025-05-04,14:31:00
EONET_13523,Whelan Lake Block 1&amp; 2 RX Wildfire  Mason  Michigan,,Wildfires,-86.119533  43.906217,,,,2025-05-03,09:05:00
EONET_13509,Sunset RD Wildfire  Brunswick  North Carolina,2.7 Miles west of Sunny Point Military Ocean Terminal,Wildfires,-78.0778333  34.0228333,,,,2025-05-02,20:43:00
EONET_13404,Rx Polk 2469 Wildfire  Polk  Texas,,Wildfires,-94.99361111  30.79611111,,,,2025-05-02,12:12:00
